carrier,bus,2013-01-01,2013-01-08,2013-01-15,2013-01-22,2013-01-29,2013-02-05,2013-02-12,2013-02-19,2013-02-26,2013-03-05,2013-03-12,2013-03-19,2013-03-26,2013-04-02,2013-04-09,2013-04-16,2013-04-23,2013-04-30,2013-05-07,2013-05-14,2013-05-21,2013-05-28,2013-06-04,2013-06-11,2013-06-18,2013-06-25,2013-07-02,2013-07-09,2013-07-16,2013-07-23,2013-07-30,2013-08-06,2013-08-13,2013-08-20,2013-08-27,2013-09-03,2013-09-10,2013-09-17,2013-09-24,2013-10-01,2013-10-08,2013-10-15,2013-10-22,2013-10-29,2013-11-05,2013-11-12,2013-11-19,2013-11-26,2013-12-03,2013-12-10,2013-12-17,2013-12-24,2013-12-31
biomass,DE1 0,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,0.0,674.03292,0.0,0.0,0.0,0.0,674.03292,0.0,0.0,0.0,0.0,0.0,0.0,674.03292,0.0,0.0,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,0.0,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292,674.03292
biomass,DE1 1,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,0.0,1083.457191,0.0,0.0,0.0,0.0,1083.457191,0.0,0.0,0.0,1083.457191,0.0,1083.457191,1083.457191,0.0,0.0,0.0,1083.457191,0.0,1083.457191,1083.457191,1083.457191,1083.457191,636.2450696620822,939.2222562718703,1083.457191,0.0,0.0,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,1083.457191,0.0,0.0,0.0
biomass,DE1 2,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,303.4742300755602,1440.1594520491708,1596.35243,0.0,1596.35243,0.0,0.0,1596.35243,0.0,0.0,0.0,1543.569088339831,0.0,0.0,1596.35243,0.0,0.0,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,0.0,0.0,0.0,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243,1596.35243
biomass,DE1 3,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,0.0,1010.94787,0.0,0.0,0.0,0.0,1010.94787,0.0,0.0,0.0,0.0,0.0,0.0,1010.94787,0.0,0.0,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,0.0,0.0,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,1010.94787,0.0,174.75956110866878
biomass,DE1 4,1404.07451,1404.07451,1404.07451,1404.07451,890.132781974216,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,0.0,1404.07451,1404.07451,0.0,0.0,0.0,1404.07451,0.0,0.0,0.0,0.0,0.0,953.2281144446888,1404.07451,0.0,0.0,856.7482617994372,1404.07451,1188.5779638755412,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,0.0,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,1404.07451,103.2597009080306,1404.07451
biomass,DE1 5,2235.782905,2235.782905,2235.782905,2235.782905,0.0,2235.782905,2235.782905,2235.782905,2235.782905,2235.782905,2235.782905,1567.3688903860584,2235.782905,2235.782905,2235.782905,2235.782905,0.0,2235.782905,0.0,0.0,0.0,0.0,2235.782905,0.0,0.0,0.0,497.7978116227385,0.0,2235.782905,2235.782905,0.0,0.0,0.0,2235.782905,0.0,2235.782905,2235.782905,2235.782905,2235.782905,2235.782905,2235.782905,1412.5826419649927,0.0,0.0,2235.782905,2235.782905,2235.782905,2235.782905,0.0,2235.782905,0.0,0.0,0.0
biomass,DK1 0,115.0,115.0,115.0,115.0,0.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,115.0,115.0,115.0,115.0,0.0,115.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,97.23415298060004,115.0,0.0,0.0,0.0,115.0,0.0,0.0,115.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0
biomass,DK2 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,FR1 0,770.33545,770.33545,770.33545,770.33545,770.33545,770.33545,770.33545,770.33545,770.33545,770.33545,770.33545,770.33545,294.2541227409083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.33545,770.33545,770.33545,770.33545,770.33545,770.33545,0.0,0.0,0.0
biomass,GB0 0,2845.6972605343863,6686.9,6686.9,6686.9,0.0,6686.9,6686.9,6686.9,6686.9,6388.599084123905,6686.9,0.0,6686.9,6686.9,220.0632235395899,0.0,0.0,0.0,0.0,3359.5871666999833,0.0,3549.3360526553,6686.9,0.0,455.79750509220156,0.0,0.0,6686.9,6686.9,6686.9,0.0,1346.8126293244,0.0,6686.9,0.0,5596.725657774503,0.0,2208.0439655228097,6205.694791734301,0.0,0.0,1716.8392078267207,0.0,0.0,6516.214327087402,4201.839042361714,6686.9,6686.9,0.0,0.0,0.0,0.0,0.0
biomass,GB3 0,38.7,38.7,38.7,38.7,0.0,38.7,38.7,38.7,38.7,38.7,38.7,0.0,38.7,38.7,38.7,0.0,0.0,0.0,0.0,38.7,0.0,38.7,38.7,0.0,38.7,0.0,0.0,38.7,38.7,38.7,0.0,38.7,0.0,38.7,0.0,38.7,0.0,38.7,38.7,0.0,0.0,38.7,0.0,0.0,38.7,38.7,38.7,38.7,0.0,0.0,0.0,0.0,0.0
biomass,LU1 0,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,0.0,7.3895,7.3895,0.0,0.0,0.0,7.3895,0.0,0.0,0.0,7.3895,0.0,7.3895,7.3895,0.0,0.0,0.0,7.3895,0.0,7.3895,7.3895,7.3895,7.3895,0.0,0.0,7.3895,0.0,0.0,7.3895,7.3895,7.3895,7.3895,7.3895,7.3895,0.0,0.0,0.0
biomass,NL1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,NO2 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
